\ Fake X-ray SED from ECPL with alpha=3.3
\cl=0.9
|energy|             flux|       flux_error|
|double|           double|           double|
|   keV|    erg / (cm2 s)|    erg / (cm2 s)|
|  null|             null|             null|
  0.519 2.64311712899e-10 8.70523279489e-11 
  0.729 2.01138204704e-10 7.32259693298e-11 
   1.06 1.91577768195e-10 5.92836180622e-11 
   1.55 1.76418583274e-10 4.66393184927e-11 
   2.26 1.71774579477e-10 3.56972662872e-11 
    3.3  1.3322069385e-10 2.63869193764e-11 
   4.89 7.39107316446e-11 1.84970912283e-11 
   7.18 2.73900042643e-11 1.24772524824e-11 
   10.4 3.59251161852e-11 8.11703795898e-12 
   14.8 1.48768624047e-11 5.11590684384e-12 
   20.9 1.17630845603e-11 3.08024224441e-12 
   30.5 4.77835237014e-12 1.64480030381e-12 
